Timestamp,Robot_ID,Alarm_ID,Alarm_Name,Category,Severity,Data_Field_1,Data_Field_2,Data_Field_3,Data_Field_4,Data_Field_5,Status,LED_Color,Motor_Control,Resolution_Time_Sec,Notes
2026-04-22 14:30:45,AGV-01,1,Emergency Stop Activated,Safety & Compliance,CRITICAL,2026-04-22 14:30:45,IO_Status=TRIGGERED,Button_State=PRESSED,LOG_20260422_001.csv,,ACTIVE,RED,STOPPED,,Manual emergency stop pressed by operator
2026-04-22 14:31:20,AGV-01,1,Emergency Stop Activated,Safety & Compliance,CRITICAL,2026-04-22 14:31:20,IO_Status=CLEARED,Button_State=RELEASED,,,RESOLVED,GREEN,RUNNING,35,Operator reset button
2026-04-22 15:10:15,AGV-02,14,Battery Low,Battery & Charging,WARNING,2026-04-22 15:10:15,Battery_Percentage=28,Voltage=24.5V,Current=12.3A,Threshold=30%,ACTIVE,YELLOW,RUNNING,,Low battery warning - dispatching to dock
2026-04-22 15:15:30,AGV-02,14,Battery Low,Battery & Charging,WARNING,2026-04-22 15:15:30,Battery_Percentage=30,Voltage=24.8V,Current=11.5A,Threshold=30%,RESOLVED,GREEN,RUNNING,315,Robot reached charging dock
2026-04-22 16:05:22,AGV-01,5,Lost Localization,Localization & Mapping,CRITICAL,2026-04-22 16:05:22,AMCL_Pose_Available=NO,Pose_Uncertainty=2.5m,Last_Valid_Position=10.5_5.3_1.57,LOG_AMCL_20260422.log,ACTIVE,RED,STOPPED,,Robot lost position lock
2026-04-22 16:06:10,AGV-01,5,Lost Localization,Localization & Mapping,CRITICAL,2026-04-22 16:06:10,AMCL_Pose_Available=YES,Pose_Uncertainty=0.2m,Last_Valid_Position=10.5_5.3_1.57,,RESOLVED,GREEN,RUNNING,48,System re-localized successfully
2026-04-22 17:20:33,AGV-03,11,Motor Overtemperature,Motion & Drive System,CRITICAL,2026-04-22 17:20:33,Current_Temperature=85C,Temperature_Threshold=75C,Error_Status_Code=E_MOTOR_TEMP,,ACTIVE,RED,STOPPED,,Motor temperature exceeded threshold
2026-04-22 17:22:45,AGV-03,11,Motor Overtemperature,Motion & Drive System,CRITICAL,2026-04-22 17:22:45,Current_Temperature=72C,Temperature_Threshold=75C,Error_Status_Code=E_MOTOR_TEMP,,RESOLVED,YELLOW,RUNNING,132,Motor cooled down - system resumed
2026-04-22 18:45:10,AGV-01,20,Lidar Fault,Sensor & Vision,CRITICAL,2026-04-22 18:45:10,Lidar_Status_Code=ERROR_001,Error_Details=Communication_Timeout,Realtime_Check_Data=NO_RESPONSE,ACTIVE,RED,STOPPED,,Lidar not responding
2026-04-22 18:47:55,AGV-01,20,Lidar Fault,Sensor & Vision,CRITICAL,2026-04-22 18:47:55,Lidar_Status_Code=OK,Error_Details=,Realtime_Check_Data=RESPONDING,,RESOLVED,GREEN,RUNNING,165,Lidar recovered after restart
